productCode,hsnCode,model,family,series,description,category,hpRating,fad,workingPressure,capacityCfm,maxPressure,motorKw,starterType,dimensionsMm,weightKg,gstPct,piePrice,elgiPrice,warrantyMonths,leadTimeDays,uom,notes
EQ-18-7.5-DM,8414,EQ 18-7.5 DM,Screw > EQ,EQ,Elgi make EQ 18 DM -7.5 STD,Screw,25,113 cfm,7.0 bar.g,113 cfm,7.5 bar.g,"18 kW, 25 hp",Fixed speed with Demand=Match,1500 x 821 x 1220 (mm),655 kg,18,,,12,42,Nos,"FAD 3.20 m3/min (113 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-18-8.5-DM,8414,EQ 18-8.5 DM,Screw > EQ,EQ,Elgi make EQ 18 DM -8.5 STD,Screw,25,110 cfm,8.0 bar.g,110 cfm,8.5 bar.g,"18 kW, 25 hp",Fixed speed with Demand=Match,1500 x 821 x 1220 (mm),655 kg,18,,,12,42,Nos,"FAD 3.11 m3/min (110 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-18-10-DM,8414,EQ 18-10 DM,Screw > EQ,EQ,Elgi make EQ 18 DM -10 STD,Screw,25,95 cfm,9.5 bar.g,95 cfm,10 bar.g,"18 kW, 25 hp",Fixed speed with Demand=Match,1500 x 821 x 1220 (mm),655 kg,18,,,12,42,Nos,"FAD 2.69 m3/min (95 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-18-13-DM,8414,EQ 18-13 DM,Screw > EQ,EQ,Elgi make EQ 18 DM -13 STD,Screw,25,80 cfm,12.5 bar.g,80 cfm,13 bar.g,"18 kW, 25 hp",Fixed speed with Demand=Match,1500 x 821 x 1220 (mm),655 kg,18,,,12,42,Nos,"FAD 2.27 m3/min (80 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-18-16-DM,8414,EQ 18-16 DM,Screw > EQ,EQ,Elgi make EQ 18 DM -16 STD,Screw,25,64 cfm,15.5 bar.g,64 cfm,16 bar.g,"18 kW, 25 hp",Fixed speed with Demand=Match,1500 x 821 x 1220 (mm),655 kg,18,,,12,42,Nos,"FAD 1.81 m3/min (64 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%. 16 bar is region-specific - confirm availability with ELGi before quoting."
EQ-22-7.5-DM,8414,EQ 22-7.5 DM,Screw > EQ,EQ,Elgi make EQ 22 DM -7.5 STD,Screw,30,132 cfm,7.0 bar.g,132 cfm,7.5 bar.g,"22 kW, 30 hp",Fixed speed with Demand=Match,1500 x 821 x 1220 (mm),675 kg,18,,,12,42,Nos,"FAD 3.74 m3/min (132 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-22-8.5-DM,8414,EQ 22-8.5 DM,Screw > EQ,EQ,Elgi make EQ 22 DM -8.5 STD,Screw,30,129 cfm,8.0 bar.g,129 cfm,8.5 bar.g,"22 kW, 30 hp",Fixed speed with Demand=Match,1500 x 821 x 1220 (mm),675 kg,18,,,12,42,Nos,"FAD 3.65 m3/min (129 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-22-10-DM,8414,EQ 22-10 DM,Screw > EQ,EQ,Elgi make EQ 22 DM -10 STD,Screw,30,112 cfm,9.5 bar.g,112 cfm,10 bar.g,"22 kW, 30 hp",Fixed speed with Demand=Match,1500 x 821 x 1220 (mm),675 kg,18,,,12,42,Nos,"FAD 3.17 m3/min (112 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-22-13-DM,8414,EQ 22-13 DM,Screw > EQ,EQ,Elgi make EQ 22 DM -13 STD,Screw,30,92 cfm,12.5 bar.g,92 cfm,13 bar.g,"22 kW, 30 hp",Fixed speed with Demand=Match,1500 x 821 x 1220 (mm),675 kg,18,,,12,42,Nos,"FAD 2.61 m3/min (92 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-22-16-DM,8414,EQ 22-16 DM,Screw > EQ,EQ,Elgi make EQ 22 DM -16 STD,Screw,30,78 cfm,15.5 bar.g,78 cfm,16 bar.g,"22 kW, 30 hp",Fixed speed with Demand=Match,1500 x 821 x 1220 (mm),675 kg,18,,,12,42,Nos,"FAD 2.19 m3/min (78 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%. 16 bar is region-specific - confirm availability with ELGi before quoting."
EQ-30-7.5-DM,8414,EQ 30-7.5 DM,Screw > EQ,EQ,Elgi make EQ 30 DM -7.5 STD,Screw,40,196 cfm,7.0 bar.g,196 cfm,7.5 bar.g,"30 kW, 40 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1000 kg,18,,,12,42,Nos,"FAD 5.55 m3/min (196 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-30-8.5-DM,8414,EQ 30-8.5 DM,Screw > EQ,EQ,Elgi make EQ 30 DM -8.5 STD,Screw,40,181 cfm,8.0 bar.g,181 cfm,8.5 bar.g,"30 kW, 40 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1000 kg,18,,,12,42,Nos,"FAD 5.13 m3/min (181 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-30-10-DM,8414,EQ 30-10 DM,Screw > EQ,EQ,Elgi make EQ 30 DM -10 STD,Screw,40,157 cfm,9.5 bar.g,157 cfm,10 bar.g,"30 kW, 40 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1000 kg,18,,,12,42,Nos,"FAD 4.43 m3/min (157 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-30-13-DM,8414,EQ 30-13 DM,Screw > EQ,EQ,Elgi make EQ 30 DM -13 STD,Screw,40,128 cfm,12.5 bar.g,128 cfm,13 bar.g,"30 kW, 40 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1000 kg,18,,,12,42,Nos,"FAD 3.62 m3/min (128 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-30-16-DM,8414,EQ 30-16 DM,Screw > EQ,EQ,Elgi make EQ 30 DM -16 STD,Screw,40,99 cfm,15.5 bar.g,99 cfm,16 bar.g,"30 kW, 40 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1000 kg,18,,,12,42,Nos,"FAD 2.80 m3/min (99 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%. 16 bar is region-specific - confirm availability with ELGi before quoting."
EQ-37-7.5-DM,8414,EQ 37-7.5 DM,Screw > EQ,EQ,Elgi make EQ 37 DM -7.5 STD,Screw,50,242 cfm,7.0 bar.g,242 cfm,7.5 bar.g,"37 kW, 50 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1095 kg,18,,,12,42,Nos,"FAD 6.85 m3/min (242 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-37-8.5-DM,8414,EQ 37-8.5 DM,Screw > EQ,EQ,Elgi make EQ 37 DM -8.5 STD,Screw,50,232 cfm,8.0 bar.g,232 cfm,8.5 bar.g,"37 kW, 50 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1095 kg,18,,,12,42,Nos,"FAD 6.57 m3/min (232 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-37-10-DM,8414,EQ 37-10 DM,Screw > EQ,EQ,Elgi make EQ 37 DM -10 STD,Screw,50,200 cfm,9.5 bar.g,200 cfm,10 bar.g,"37 kW, 50 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1095 kg,18,,,12,42,Nos,"FAD 5.66 m3/min (200 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-37-13-DM,8414,EQ 37-13 DM,Screw > EQ,EQ,Elgi make EQ 37 DM -13 STD,Screw,50,164 cfm,12.5 bar.g,164 cfm,13 bar.g,"37 kW, 50 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1095 kg,18,,,12,42,Nos,"FAD 4.64 m3/min (164 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-37-16-DM,8414,EQ 37-16 DM,Screw > EQ,EQ,Elgi make EQ 37 DM -16 STD,Screw,50,134 cfm,15.5 bar.g,134 cfm,16 bar.g,"37 kW, 50 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1095 kg,18,,,12,42,Nos,"FAD 3.79 m3/min (134 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%. 16 bar is region-specific - confirm availability with ELGi before quoting."
EQ-45-7.5-DM,8414,EQ 45-7.5 DM,Screw > EQ,EQ,Elgi make EQ 45 DM -7.5 STD,Screw,60,296 cfm,7.0 bar.g,296 cfm,7.5 bar.g,"45 kW, 60 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1110 kg,18,,,12,42,Nos,"FAD 8.38 m3/min (296 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-45-8.5-DM,8414,EQ 45-8.5 DM,Screw > EQ,EQ,Elgi make EQ 45 DM -8.5 STD,Screw,60,284 cfm,8.0 bar.g,284 cfm,8.5 bar.g,"45 kW, 60 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1110 kg,18,,,12,42,Nos,"FAD 8.03 m3/min (284 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-45-10-DM,8414,EQ 45-10 DM,Screw > EQ,EQ,Elgi make EQ 45 DM -10 STD,Screw,60,257 cfm,9.5 bar.g,257 cfm,10 bar.g,"45 kW, 60 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1110 kg,18,,,12,42,Nos,"FAD 7.28 m3/min (257 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-45-13-DM,8414,EQ 45-13 DM,Screw > EQ,EQ,Elgi make EQ 45 DM -13 STD,Screw,60,215 cfm,12.5 bar.g,215 cfm,13 bar.g,"45 kW, 60 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1110 kg,18,,,12,42,Nos,"FAD 6.09 m3/min (215 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%."
EQ-45-16-DM,8414,EQ 45-16 DM,Screw > EQ,EQ,Elgi make EQ 45 DM -16 STD,Screw,60,174 cfm,15.5 bar.g,174 cfm,16 bar.g,"45 kW, 60 hp",Fixed speed with Demand=Match,1705 x 1111 x 1410 (mm),1110 kg,18,,,12,42,Nos,"FAD 4.93 m3/min (174 cfm) per ISO 1217 Annex C. 70 dB(A), air-cooled, 50 Hz. Demand=Match adjusts delivery from 100% down to 40%. 16 bar is region-specific - confirm availability with ELGi before quoting."
EQ-11-7.5-V,8414,EQ 11-7.5 V,Screw > EQ,EQ,Elgi make EQ 11 VFD -7.5 STD,Screw,15,65 cfm,7.0 bar.g,65 cfm,7.5 bar.g,"11 kW, 15 hp",Variable Frequency Drive,1356 x 721 x 1220 (mm),568 kg,18,,,12,42,Nos,"FAD 0.79~1.84 m3/min (28~65 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-11-8.5-V,8414,EQ 11-8.5 V,Screw > EQ,EQ,Elgi make EQ 11 VFD -8.5 STD,Screw,15,60 cfm,8.0 bar.g,60 cfm,8.5 bar.g,"11 kW, 15 hp",Variable Frequency Drive,1356 x 721 x 1220 (mm),568 kg,18,,,12,42,Nos,"FAD 0.71~1.7 m3/min (25~60 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-11-10-V,8414,EQ 11-10 V,Screw > EQ,EQ,Elgi make EQ 11 VFD -10 STD,Screw,15,55 cfm,9.5 bar.g,55 cfm,10 bar.g,"11 kW, 15 hp",Variable Frequency Drive,1356 x 721 x 1220 (mm),568 kg,18,,,12,42,Nos,"FAD 0.68~1.56 m3/min (24~55 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-11-13-V,8414,EQ 11-13 V,Screw > EQ,EQ,Elgi make EQ 11 VFD -13 STD,Screw,15,45 cfm,12.5 bar.g,45 cfm,13 bar.g,"11 kW, 15 hp",Variable Frequency Drive,1356 x 721 x 1220 (mm),568 kg,18,,,12,42,Nos,"FAD 0.45~1.27 m3/min (16~45 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-11-16-V,8414,EQ 11-16 V,Screw > EQ,EQ,Elgi make EQ 11 VFD -16 STD,Screw,15,34 cfm,15.5 bar.g,34 cfm,16 bar.g,"11 kW, 15 hp",Variable Frequency Drive,1356 x 721 x 1220 (mm),568 kg,18,,,12,42,Nos,"FAD 0.52~0.95 m3/min (18~34 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz. 16 bar is region-specific - confirm availability with ELGi before quoting."
EQ-15-7.5-V,8414,EQ 15-7.5 V,Screw > EQ,EQ,Elgi make EQ 15 VFD -7.5 STD,Screw,20,90 cfm,7.0 bar.g,90 cfm,7.5 bar.g,"15 kW, 20 hp",Variable Frequency Drive,1356 x 721 x 1220 (mm),604 kg,18,,,12,42,Nos,"FAD 1.02~2.55 m3/min (36~90 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-15-8.5-V,8414,EQ 15-8.5 V,Screw > EQ,EQ,Elgi make EQ 15 VFD -8.5 STD,Screw,20,88 cfm,8.0 bar.g,88 cfm,8.5 bar.g,"15 kW, 20 hp",Variable Frequency Drive,1356 x 721 x 1220 (mm),604 kg,18,,,12,42,Nos,"FAD 1.08~2.49 m3/min (38~88 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-15-10-V,8414,EQ 15-10 V,Screw > EQ,EQ,Elgi make EQ 15 VFD -10 STD,Screw,20,76 cfm,9.5 bar.g,76 cfm,10 bar.g,"15 kW, 20 hp",Variable Frequency Drive,1356 x 721 x 1220 (mm),604 kg,18,,,12,42,Nos,"FAD 0.96~2.15 m3/min (34~76 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-15-13-V,8414,EQ 15-13 V,Screw > EQ,EQ,Elgi make EQ 15 VFD -13 STD,Screw,20,67 cfm,12.5 bar.g,67 cfm,13 bar.g,"15 kW, 20 hp",Variable Frequency Drive,1356 x 721 x 1220 (mm),604 kg,18,,,12,42,Nos,"FAD 0.74~1.9 m3/min (26~67 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-15-16-V,8414,EQ 15-16 V,Screw > EQ,EQ,Elgi make EQ 15 VFD -16 STD,Screw,20,51 cfm,15.5 bar.g,51 cfm,16 bar.g,"15 kW, 20 hp",Variable Frequency Drive,1356 x 721 x 1220 (mm),604 kg,18,,,12,42,Nos,"FAD 0.85~1.44 m3/min (30~51 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz. 16 bar is region-specific - confirm availability with ELGi before quoting."
EQ-18-7.5-V,8414,EQ 18-7.5 V,Screw > EQ,EQ,Elgi make EQ 18 VFD -7.5 STD,Screw,25,113 cfm,7.0 bar.g,113 cfm,7.5 bar.g,"18 kW, 25 hp",Variable Frequency Drive,1500 x 821 x 1220 (mm),680 kg,18,,,12,42,Nos,"FAD 1.36~3.2 m3/min (48~113 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-18-8.5-V,8414,EQ 18-8.5 V,Screw > EQ,EQ,Elgi make EQ 18 VFD -8.5 STD,Screw,25,110 cfm,8.0 bar.g,110 cfm,8.5 bar.g,"18 kW, 25 hp",Variable Frequency Drive,1500 x 821 x 1220 (mm),680 kg,18,,,12,42,Nos,"FAD 1.36~3.11 m3/min (48~110 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-18-10-V,8414,EQ 18-10 V,Screw > EQ,EQ,Elgi make EQ 18 VFD -10 STD,Screw,25,94 cfm,9.5 bar.g,94 cfm,10 bar.g,"18 kW, 25 hp",Variable Frequency Drive,1500 x 821 x 1220 (mm),680 kg,18,,,12,42,Nos,"FAD 1.16~2.66 m3/min (41~94 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-18-13-V,8414,EQ 18-13 V,Screw > EQ,EQ,Elgi make EQ 18 VFD -13 STD,Screw,25,80 cfm,12.5 bar.g,80 cfm,13 bar.g,"18 kW, 25 hp",Variable Frequency Drive,1500 x 821 x 1220 (mm),680 kg,18,,,12,42,Nos,"FAD 1.02~2.27 m3/min (36~80 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-18-16-V,8414,EQ 18-16 V,Screw > EQ,EQ,Elgi make EQ 18 VFD -16 STD,Screw,25,64 cfm,15.5 bar.g,64 cfm,16 bar.g,"18 kW, 25 hp",Variable Frequency Drive,1500 x 821 x 1220 (mm),680 kg,18,,,12,42,Nos,"FAD 1.25~1.81 m3/min (44~64 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz. 16 bar is region-specific - confirm availability with ELGi before quoting."
EQ-22-7.5-V,8414,EQ 22-7.5 V,Screw > EQ,EQ,Elgi make EQ 22 VFD -7.5 STD,Screw,30,132 cfm,7.0 bar.g,132 cfm,7.5 bar.g,"22 kW, 30 hp",Variable Frequency Drive,1500 x 821 x 1220 (mm),700 kg,18,,,12,42,Nos,"FAD 1.7~3.74 m3/min (60~132 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-22-8.5-V,8414,EQ 22-8.5 V,Screw > EQ,EQ,Elgi make EQ 22 VFD -8.5 STD,Screw,30,129 cfm,8.0 bar.g,129 cfm,8.5 bar.g,"22 kW, 30 hp",Variable Frequency Drive,1500 x 821 x 1220 (mm),700 kg,18,,,12,42,Nos,"FAD 1.7~3.65 m3/min (60~129 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-22-10-V,8414,EQ 22-10 V,Screw > EQ,EQ,Elgi make EQ 22 VFD -10 STD,Screw,30,112 cfm,9.5 bar.g,112 cfm,10 bar.g,"22 kW, 30 hp",Variable Frequency Drive,1500 x 821 x 1220 (mm),700 kg,18,,,12,42,Nos,"FAD 1.53~3.17 m3/min (54~112 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-22-13-V,8414,EQ 22-13 V,Screw > EQ,EQ,Elgi make EQ 22 VFD -13 STD,Screw,30,92 cfm,12.5 bar.g,92 cfm,13 bar.g,"22 kW, 30 hp",Variable Frequency Drive,1500 x 821 x 1220 (mm),700 kg,18,,,12,42,Nos,"FAD 1.05~2.61 m3/min (37~92 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-22-16-V,8414,EQ 22-16 V,Screw > EQ,EQ,Elgi make EQ 22 VFD -16 STD,Screw,30,78 cfm,15.5 bar.g,78 cfm,16 bar.g,"22 kW, 30 hp",Variable Frequency Drive,1500 x 821 x 1220 (mm),700 kg,18,,,12,42,Nos,"FAD 1.39~2.19 m3/min (49~78 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz. 16 bar is region-specific - confirm availability with ELGi before quoting."
EQ-30-7.5-V,8414,EQ 30-7.5 V,Screw > EQ,EQ,Elgi make EQ 30 VFD -7.5 STD,Screw,40,196 cfm,7.0 bar.g,196 cfm,7.5 bar.g,"30 kW, 40 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1050 kg,18,,,12,42,Nos,"FAD 1.78~5.55 m3/min (63~196 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-30-8.5-V,8414,EQ 30-8.5 V,Screw > EQ,EQ,Elgi make EQ 30 VFD -8.5 STD,Screw,40,181 cfm,8.0 bar.g,181 cfm,8.5 bar.g,"30 kW, 40 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1050 kg,18,,,12,42,Nos,"FAD 1.61~5.13 m3/min (57~181 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-30-10-V,8414,EQ 30-10 V,Screw > EQ,EQ,Elgi make EQ 30 VFD -10 STD,Screw,40,157 cfm,9.5 bar.g,157 cfm,10 bar.g,"30 kW, 40 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1050 kg,18,,,12,42,Nos,"FAD 1.36~4.43 m3/min (48~157 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-30-13-V,8414,EQ 30-13 V,Screw > EQ,EQ,Elgi make EQ 30 VFD -13 STD,Screw,40,128 cfm,12.5 bar.g,128 cfm,13 bar.g,"30 kW, 40 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1050 kg,18,,,12,42,Nos,"FAD 0.99~3.62 m3/min (35~128 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-30-16-V,8414,EQ 30-16 V,Screw > EQ,EQ,Elgi make EQ 30 VFD -16 STD,Screw,40,99 cfm,15.5 bar.g,99 cfm,16 bar.g,"30 kW, 40 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1050 kg,18,,,12,42,Nos,"FAD 1.65~2.8 m3/min (58~99 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz. 16 bar is region-specific - confirm availability with ELGi before quoting."
