partNo,hsnCode,description,productGroup,category,uom,gstPct,piePrice,elgiPrice,reorderLevel,safetyStock,defaultBinId,notes
00040582A,84149019,"NIPPLE HEX 1/2""X1/2""BSPX45 ZYP",RCD Spares,RCD Spares,Nos,18,80,86,,,,
00041002A,84149019,GASKET 0.75C/CASE TO CYL TS02,RCD Spares,RCD Spares,Nos,18,80,86,,,,
00041002B,84149019,GASKET 0.4 C/CASE TO CYL TS02,RCD Spares,RCD Spares,Nos,18,64,69,,,,
00041002C,84149019,GASKET 0.25C/CASE TO CYL TS02,RCD Spares,RCD Spares,Nos,18,64,69,,,,
00041002D,84149019,GASKET 1.0 C/CASE TO CYL TS02,RCD Spares,RCD Spares,Nos,18,67,72,,,,
00041004A,84149019,GASKET 0.25 C/CASE TO CYL TS05,RCD Spares,RCD Spares,Nos,18,70,75,,,,
00041004B,84149019,GASKET 0.4 C/CASE TO CYL TS05,RCD Spares,RCD Spares,Nos,18,77,83,,,,
00041004C,68052090,GASKET 0.75 C/CASE TO CYL TS05,RCD Spares,RCD Spares,Nos,18,109,117,,,,
00041004D,68052090,GASKET 1MM C/CASE TO CYLINDER,RCD Spares,RCD Spares,Nos,18,78,84,,,,
00041015A,,"PIECE CONTG 7/8""BSP TS07 BG",RCD Spares,RCD Spares,Nos,18,241,258,,,,
00041016A,84149019,"ERMETO 3/4""X7/8""BSP TS02/03EXP",RCD Spares,RCD Spares,Nos,18,325,348,,,,
00041017A,84149019,"ERMETO 1""X3/4""BSP TRC1000MN",RCD Spares,RCD Spares,Nos,18,207,222,,,,
00041017B,84149019,"ERMETO 1""X3/4""BSP SS TS LB",RCD Spares,RCD Spares,Nos,18,293,314,,,,
00041150A,68052090,GASKET 0.25 CYL TO VF DIA50,RCD Spares,RCD Spares,Nos,18,84,90,,,,
00041151A,68052090,GASKET 0.5 VF TO HEAD DIA50,RCD Spares,RCD Spares,Nos,18,74,80,,,,
00041152A,68052090,GASKET 60 CYL TO VAL FLAT 0.25,RCD Spares,RCD Spares,Nos,18,196,210,,,,
00041152B,68052090,GASKET 60 CYL TO VAL FLAT 0.25,RCD Spares,RCD Spares,Nos,18,40,43,,,,
00041153A,68052090,GASKET 0.5 V/F TO 60 HEAD,RCD Spares,RCD Spares,Nos,18,186,200,,,,
00041153B,68052090,GASKET 0.5 VAL FLAT TO 60HEAD,RCD Spares,RCD Spares,Nos,18,41,44,,,,
00041154A,68052090,GASKET 0.25T 70 CYL TO VALVE,RCD Spares,RCD Spares,Nos,18,84,90,,,,
00041155A,68052090,GASKET 0.5 VALVE TO HEAD 70,RCD Spares,RCD Spares,Nos,18,58,63,,,,
00041156A,68052090,GASKET 0.25 100DIA CYL TO V/F,RCD Spares,RCD Spares,Nos,18,149,160,,,,
00041164A,68052090,GASKET C/CASE TO CYL LG01 0.25,RCD Spares,RCD Spares,Nos,18,69,74,,,,
00041164B,68052090,GASKET 0.4 C/CASE T0 CYL LG01,RCD Spares,RCD Spares,Nos,18,68,73,,,,
00041164C,68052090,GASKET 0.8 C/CASE TO CYL LG01,RCD Spares,RCD Spares,Nos,18,68,73,,,,
00041164D,68129922,GASKET 1.0 C/CASE TO CYL LG01,RCD Spares,RCD Spares,Nos,18,69,74,,,,
00041204A,84149019,"PIECE CONTG 1""BSP SS07/10 EXP",RCD Spares,RCD Spares,Nos,18,275,295,,,,
00041361B,,PIPE 1/2 BSP BREATHER TRC1000M,RCD Spares,RCD Spares,Nos,18,258,277,,,,
00041589A,84099112,RING T/P/C DIA50PIS.TS02/03HP0,RCD Spares,RCD Spares,Nos,18,92,99,,,,
00041590A,84099112,"RING SC DIA50PIS.TS02,03/05HP",RCD Spares,RCD Spares,Nos,18,92,99,,,,
00041683A,84099112,RING SOC DIA50PIS.TS02/03HP030,RCD Spares,RCD Spares,Nos,18,99,106,,,,
00041811A,84149019,PIPE CONTG NO.1 B/D SS15 TS10,RCD Spares,RCD Spares,Nos,18,665,712,,,,
00041812A,,PIPE CONTG NO.2 B/D SS15 TS10,RCD Spares,RCD Spares,Nos,18,1050,1124,,,,
00041823A,73079190,"NIPPLE HEX 1 1/2""BSP M",RCD Spares,RCD Spares,Nos,18,1389,1487,,,,
00041829A,,WASHER EM PL ROD 37X22.2X3.17,RCD Spares,RCD Spares,Nos,18,35,38,,,,
00041829Z,,WASHER EM PL ROD 37X22.2X1.3,RCD Spares,RCD Spares,Nos,18,35,38,,,,
00041843A,,"NIPPLE HEX 1/2""BSPX40 EXPORT",RCD Spares; EPSAC ROCD Spares,RCD Spares,Nos,18,739,791,,,,
00041928A,84149019,"NUT EREMETO 1""BSP TRC1000MN",RCD Spares,RCD Spares,Nos,18,168,180,,,,
00042598A,73079190,"REDU NIPPLE 1 1/2""X3/4""BSP",RCD Spares,RCD Spares,Nos,18,942,1008,,,,
00042658A,84149019,"ERMETO 1/4""X1/4""BSP ZYP",RCD Spares; EPSAC ROCD Spares,RCD Spares,Nos,18,82,88,,,,
00042659A,84149019,"ERMETO 1/4""X1/8""BSP SS15 BG",RCD Spares,RCD Spares,Nos,18,113,121,,,,
00042660A,,BUSH CENTERING LD SERIES,RCD Spares,RCD Spares,Nos,18,37,40,,,,
00042661A,84149019,DISC END SS TS LB,RCD Spares,RCD Spares,Nos,18,60,65,,,,
00042663A,84149019,"SPRING NRV 1 1/2""BSP",RCD Spares,RCD Spares,Nos,18,153,164,,,,
00042675A,84149019,"NIPPLE 3/4""BSPX85 BP02/03",RCD Spares,RCD Spares,Nos,18,215,231,,,,
00042725A,84149019,"ERMETO 1/2""X7/8""BSP ZYP LG00/1",RCD Spares,RCD Spares,Nos,18,152,163,,,,
00042764A,84149019,"CONN 1""BSP SS15 TS10 EXPORT",RCD Spares,RCD Spares,Nos,18,479,513,,,,
00042765A,84149019,"CONN 7/8""BSP TS10/12/15 EXPORT",RCD Spares,RCD Spares,Nos,18,340,364,,,,
00042843A,68052090,GASKET 0.75C/CASE TO 127CYL HV,RCD Spares,RCD Spares,Nos,18,102,110,,,,
00042843B,68129022,GASKET 0.25 C/CASE TO 127CYL H,RCD Spares,RCD Spares,Nos,18,102,110,,,,
00042843C,68052090,GASKET 0.4 C/CASE TO 127CYL HV,RCD Spares,RCD Spares,Nos,18,102,110,,,,
00042863A,84099112,RING P/T/C DIA 127 PIS HV/SP,RCD Spares,RCD Spares,Nos,18,464,497,,,,
00042936A,84149019,"PIECE CONN 1/2""X1/2""BSPX75 TS",RCD Spares,RCD Spares,Nos,18,268,287,,,,
00042936C,84149019,"PIECE CONN 3/4""X1/2X100 SS TS",RCD Spares,RCD Spares,Nos,18,469,502,,,,
00042936E,,PIECE;CONN-REC TO PSW TS10,RCD Spares,RCD Spares,Nos,18,247,265,,,,
00042936H,84149019,PIECE CONN.REC TO PSW TS10,RCD Spares,RCD Spares,Nos,18,293,314,,,,
00042942A,84149019,"NIPPLE CONN 1/2""X1/2""BSPX90ZYP",RCD Spares,RCD Spares,Nos,18,171,183,,,,
00042942B,,PIECE CONNECTING,RCD Spares,RCD Spares,Nos,18,211,226,,,,
00043209A,84149019,"NIPPLE HEX 1""X1"" TS10/12/15 ZY",RCD Spares,RCD Spares,Nos,18,218,234,,,,
00043210A,84149019,"ERMETO 1""BSP TRC1000MN",RCD Spares,RCD Spares,Nos,18,142,152,,,,
00043210B,84149019,"ERMETO 1"" X 1"" BSP TS LB",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,516,553,,,,
00043217A,84149019,"NIPPLE PIPE 1 1/4""BSP EXPORT",RCD Spares,RCD Spares,Nos,18,177,190,,,,
00043217C,84149019,PIPE NIPPLE WITH SOCKET,RCD Spares,RCD Spares,Nos,18,500,535,,,,
00043240A,84149019,BUSH DIA18 GP TS10/12/15 SPAR,RCD Spares,RCD Spares,Nos,18,269,288,,,,
00043570B,84149019,PULY MOTOR M/C TS15,RCD Spares,RCD Spares,Nos,18,6608,7071,,,,
00043665A,73079990,"REDU 1""X1/2""BSP BREATHER TS10",RCD Spares,RCD Spares,Nos,18,241,258,,,,
00043924A,68052090,GASKET 0.4 C/C TO 220CYL SQ255,RCD Spares,RCD Spares,Nos,18,195,209,,,,
00043924B,68052090,GASKET 0.8 C/CASE TO 220CYL HV,RCD Spares,RCD Spares,Nos,18,581,622,,,,
00043932A,84149019,PULLEY MOTOR TS40 LB-10,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,9794,10480,,,,
00043932B,,PULY MOTOR M/C HV40120,RCD Spares,RCD Spares,Nos,18,11422,12222,,,,
00043932C,,PULLEY; MOTOR;M/C WO/KWHV40012,RCD Spares,RCD Spares,Nos,18,11422,12222,,,,
00043941A,84099911,RING TPC DIA220 PIS HV 30/40EX,RCD Spares,RCD Spares,Nos,18,728,779,,,,
00044453A,84149019,"PIECE CONN 1""BSP HP LB",RCD Spares; EPSAC ROCD Spares,RCD Spares,Nos,18,761,815,,,,
00044560A,68052090,GASKET 0.4 C/CASE TO 197CYL HV,RCD Spares,RCD Spares,Nos,18,239,256,,,,
00045840A,,PULY MOTOR M/C BP05070,RCD Spares,RCD Spares,Nos,18,2138,2288,,,,
00046210A,68052090,GASKET 0.5 100DIA V/F TO HEAD,RCD Spares,RCD Spares,Nos,18,84,90,,,,
00046454A,,RIVET DIA2.5X4.5 NAME PL,RCD Spares,RCD Spares,Nos,18,1,2,,,,
00046487A,84099911,RING SC DIA220PIS HV30/40/EX45,RCD Spares,RCD Spares,Nos,18,728,779,,,,
00046925A,84099112,RING SC DIA127PIS HV/SP SERIES,RCD Spares,RCD Spares,Nos,18,503,539,,,,
00047001A,84149019,"SILENCER ASSY1/2""BSP TS15/SS15",RCD Spares; EPSAC ROCD Spares,RCD Spares,Nos,18,1009,1080,,,,
00047002A,68129922,GASKET 0.4 C/C TO 220CYL SQ250,RCD Spares,RCD Spares,Nos,18,121,130,,,,
00047004A,84149019,STUD M12X86 100CYL SS10 BG,RCD Spares,RCD Spares,Nos,18,85,91,,,,
00047971A,73069019,PR PIPE LINE ASSY LG02 - 160L,RCD Spares,RCD Spares,Nos,18,589,631,,,,
00051012A,84149019,NUT CONTG I/C SS02/03/05 EXP,RCD Spares,RCD Spares,Nos,18,209,224,,,,
00051017A,84149019,SPINDLE WITH RUBBER WASHER 3/4,RCD Spares,RCD Spares,Nos,18,622,666,,,,
00051029A,84149019,"REDUCER 3/4""BSPM X 1/4""BSP ZYP",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,380,407,,,,
00051030A,,ADJ TENSION M16X115 TS10/12/15,RCD Spares,RCD Spares,Nos,18,437,468,,,,
00051030B,84149019,ADJ TENSION M16X78 TS02/03/05,RCD Spares,RCD Spares,Nos,18,153,164,,,,
00051030C,73181500,ADJ TENSION M16X115 TS02/03/05,RCD Spares,RCD Spares,Nos,18,186,200,,,,
00051031A,84149019,O RING OS 23 DUV,RCD Spares,RCD Spares,Nos,18,32,35,,,,
00051036A,84149019,DISC END SS15 EXPORT,RCD Spares,RCD Spares,Nos,18,103,111,,,,
00051038A,84149019,"NUT CONTG 1 1/4""BSP EXP D36",RCD Spares,RCD Spares,Nos,18,300,321,,,,
00051074A,,"PLUG HEX 3/4""BSP TS15 LB",RCD Spares,RCD Spares,Nos,18,108,116,,,,
00051116A,,"NIPPLE HEX 1/2""X1/2""BSP",RCD Spares,RCD Spares,Nos,18,368,394,,,,
00051123A,84149019,"NIPPLE HEX 3/4""X3/4""BSPX40 ZYP",RCD Spares,RCD Spares,Nos,18,177,190,,,,
00051242A,,ADJ TENSION BOLT M12X65 LG,RCD Spares,RCD Spares,Nos,18,137,147,,,,
00051311A,85129000,"NUT ERMETO 1/4""BSP PR LINE ZYP",RCD Spares,RCD Spares,Nos,18,41,44,,,,
00051456A,84149019,STUD M12X45 100CYL B/G FIXING,RCD Spares,RCD Spares,Nos,18,33,36,,,,
00051887A,84149019,"PLUG HEX 1/8""BSPSS/05 TS/10 BG",RCD Spares,RCD Spares,Nos,18,33,36,,,,
00051926A,84149019,KEY 6.35X6.35X24 LG00070,RCD Spares,RCD Spares,Nos,18,83,89,,,,
00052013A,84149019,STUD M12X60 CYL TO CYL HEAD,RCD Spares,RCD Spares,Nos,18,60,65,,,,
00052119A,84149019,BUSH D20 GP SS07/10 TS05/07 SP,RCD Spares,RCD Spares,Nos,18,225,241,,,,
00052120A,84149019,BUSH D18 GP TS05/07 HP07/10 SP,RCD Spares,RCD Spares,Nos,18,177,190,,,,
00052121A,84149019,BUSH D18 GP SS02/03/05 TS SPAR,RCD Spares,RCD Spares,Nos,18,263,282,,,,
00052122A,84149019,BUSH D12 GP TS02/03 HP03/05 SP,RCD Spares,RCD Spares,Nos,18,380,407,,,,
00052311A,84149019,BUSH D20 GP SS15 TS10/12/15 SP,RCD Spares,RCD Spares,Nos,18,371,397,,,,
00052493A,84149019,"NIPPLE ROUND 1 1/4""BSP SS15 ZY",RCD Spares,RCD Spares,Nos,18,146,157,,,,
00890100R,85041010,"POWER SUPPLY,3.3A,24V",EPSAC ROCD Spares; OFSAC Spares,EPSAC ROCD Spares,Nos,18,13787,14753,,,,
00890100X,85041010,MEMORYCARD(ML1400),OFSAC Spares,OFSAC Spares,Nos,18,21322,22815,,,,Selling price derived at cost x 1.07
00892822P,,MINI CONTACTOR 9A-AC3-24V,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,3116,3335,,,,
00892901P,,CONTACTOR 16A/24VAC;1NO-AUX,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,3888,4161,,,,
00893301P,,OVERLOAD RELAY 2.5-4A,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,3804,4071,,,,
00893301T,,2.5-4A OVERLOAD RELAY,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,3170,3392,,,,
00893703A,85369090,150VA CTRL TR0-230-0-230/0-24,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,6436,6887,,,,
00893703C,85041010,40VA CTRL TR 0-24/0-24,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,4077,4363,,,,
00894641A,85361060,GLASS FUSE 1A,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,12,13,,,,
00894642A,85361060,GLASS FUSE 2A,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,12,13,,,,
00894642G,84149019,CLIPFLIX 35-SCRELESS END CLAMP,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,20,22,,,,
00894642J,85369090,UHV 50-50SQ.MM TERMINAL -HD,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,797,853,,,,
00894642K,,UHV 95-95SQ.MM TERMINAL -HD,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,904,968,,,,
00894644A,,GLASS FUSE 4A,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,12,13,,,,
00894646A,,GLASS FUSE 6A,OFSAC Spares,OFSAC Spares,Nos,18,11,12,,,,Selling price derived at cost x 1.07
00897701N,85423100,NEURON II CONTROLLER,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,82109,87857,,,,
00897901O,,PRESSURE TRANSM.264HSPSBA1/B1,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,93574,100125,,,,
00897902C,90251990,TEMP.SENSOR;0-150DEG;KTY10,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,15026,16078,,,,
00897902M,90251990,TEMP.SENSOR;0-150DEG;KTY10,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,4564,4884,,,,
00897902N,,Pressure Transmitter(0-16bar)M,RCD Spares; EPSAC ROCD Spares,RCD Spares,Nos,18,10746,11499,,,,
00897902P,90251990,TEMP SENSOR 0-150DEGKTY10 2.1M,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,5111,5469,,,,
00897902R,90262000,Pressure Transmitter MBS3000(-,EPSAC ROCD Spares; OFSAC Spares,EPSAC ROCD Spares,Nos,18,18071,19336,,,,
00897903R,85369090,NEURON II CONNECTOR SET,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,2238,2395,,,,
00897903T,85389000,NEURON XT CONNECTOR SET,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,1811,1938,,,,
00897903W,84149019,CONNECTOR SET NEURON III,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,8626,9230,,,,
01024025A,,AFTER COOLER E11 & E15 HORIZON,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,49970,53468,,,,
01024025B,,OIL COOLER E11 & E15 HORIZON,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,142308,152270,,,,
01024047A,,SHELL ASSY CYCLONE RT 10S,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,6081,6507,,,,
01024047B,,SHELL ASSY CYCLONE RT 12S,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,6251,6689,,,,
01024122A,84149019,AFTER COOLER ASSY E30-E37 HORI,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,118809,127126,,,,
01024122B,84149019,OIL COOLER ASSY E30-E37 HORIZN,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,359047,384181,,,,
01024149A,,AFTER COOLER ASSY,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,139962,149760,,,,
01024149B,,OIL COOLER ASSY,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,446651,477917,,,,
01024218A,,AFTER COOLER ASSY E55,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,180337,192961,,,,
01024218B,,OIL COOLER ASSY E55,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,540920,578785,,,,
01034019F,,ADAPTER ASSY E16/E20-100HP OV,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,35776,38281,,,,
01034020A,84149019,AFTER COOLER E18 & E22 HORIZON,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,64409,68918,,,,
01034020B,84149019,OIL COOLER E18 & E22 HORIZON,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,193145,206666,,,,
01034309A,,AFTER COOLER ASSY 215 HP,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,248851,266271,,,,
01034309B,,OIL COOLER ASSY 215HP,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,898960,961888,,,,
01034425A,,AFTER COOLER EPSAC E2016;215hp,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,515201,551266,,,,
01034425B,84149019,OIL COOLER EPSAC E2016;215HP,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,699294,748245,,,,
01034430A,,ADAPTER ASSY 100HP SF TANDEM,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,33705,36065,,,,
01034437A,,"HOSE ASSY 1 1/2"" WITH BEND",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,17633,18868,,,,
01034438A,84149019,"HOSE ASSY 1 1/2"" (OIL LINE)",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,20017,21419,,,,
01034453A,84149019,AFTER COOLER 20/16,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,642041,686984,,,,
01034453B,84149019,OIL COOLER 20/16,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,891643,954059,,,,
01034455A,,ADAPTER ASSY ALU COL EE160,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,84757,90690,,,,
01034469A,84149019,OIL COOLER ASSY.,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,981722,1050443,,,,
01034469B,84149019,AFTER COOLER ASSY.,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,515408,551487,,,,
01034491A,84149019,AFTER COOLER ALU (B2599.2),EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,223158,238780,,,,
01034491B,84149019,OIL COOLER ALU (B2599.1),EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,491577,525988,,,,
01034492A,84149019,AFTER COOLER ASSY,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,225440,241221,,,,
01034492B,,OIL COOLER MIDDLE ASSY,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,423248,452876,,,,
01034492C,,OIL COOLER BOTTOM ASSY,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,1287200,1377304,,,,
01035429A,84149019,PIPE ASSY.COOLER TO MPV,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,12701,13591,,,,
01036076A,,CONT.LINE TUBES E22 (9 NOS ),EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,12028,12870,,,,
01038004N,,GUARD COUPLING,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,1383,1480,,,,
01039608A,,CANOPY ASSY E75e NEURN,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,248581,265982,,,,
01043078A,,"SE CON.11/2""BSPx11/4""Tx1/4""NPT",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,5418,5798,,,,
01043422A,68129022,"GASKET,ADAPTER INLET 2016TS HO",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,595,637,,,,
01043422B,68129022,"GASKET,DCV PIPE AIREND SIDE",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,206,221,,,,
01044052A,73079990,"PARALLEL MSC 3/4""BSPX3/4""T",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,723,774,,,,
01044052C,,"PARALLEL MSC 1 1/2""BSPX1 1/4""T",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,1726,1847,,,,
01044052D,73079190,"PARALLEL MSC 3/4""BSP x 1""T",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,587,629,,,,
01044052H,73071190,"PARALLEL MSC 1 1/2""BSPX1 1/2""T",OFSAC Spares,OFSAC Spares,Nos,18,1892,2025,,,,Selling price derived at cost x 1.07
01044053A,,"SE CONNECTOR 3/4""BSPX3/4""T",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,2057,2201,,,,
01044053B,73079190,"SE CONNECTOR 1 1/2""BSPX1""T",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,3542,3790,,,,
01044053C,,"SE CONNECTOR 1 1/2""BSPX1 1/4""T",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,4929,5275,,,,
01044053D,73079190,"SE CONNECTOR 3/4""BSPX1""T",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,2719,2910,,,,
01044053E,,"SE CONNECTOR 1 1/2""BSPX1 1/2""T",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,4680,5008,,,,
01044337C,,PIPE COOLER TO TEE,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,4028,4310,,,,
01044337D,84149019,PIPE MOF TO TV,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,2149,2300,,,,
01044580A,,HOSE OIL COOLER TO TV 1IN BSP,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,35296,37767,,,,
01044580B,,HOSE OIL COOLER TO TV 1IN BSP,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,5184,5547,,,,
01045383A,,"HOSE;OIL LINE 1 1/16""UNFxM27",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,6175,6608,,,,
01045383B,,"HOSE;OIL LINE 1 1/16""UNFxM27",EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,6478,6932,,,,
01045384A,,BUSH WITH FLANGE E75,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,2787,2983,,,,
01045600F,84149019,PIPE THERMAL VALVE TO FILTER,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,964,1032,,,,
01045620B,,PIPE BOF TO A/E HORIZON,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,707,757,,,,
01045620D,84149019,PIPE TEE TO COOLER,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,2193,2347,,,,
01045620F,84149019,PIPE MPV TO COOLER,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,1442,1543,,,,
01048022B,,BKT AIR END MTG E10W20AND 25HP,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,745,798,,,,
01240060Z,,BASE AND CANO.ASSY E75e NEURN,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,264681,283209,,,,
01240113B,,HOSE FLEX.ASSY 40NB OD 127,EPSAC ROCD Spares,EPSAC ROCD Spares,Nos,18,18110,19378,,,,
